value,unit,fraction_type,component_inchi_0,component_inchi_1,component_inchi_2,component_inchi_3,fraction_0,fraction_1,fraction_2,fraction_3
-4.0,Celcius,molar,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",InChI=1S/C3H6O/c1-3(2)4/h1-2H3,"InChI=1S/CH4O/c1-2/h2H,1H3",,0.188,0.152,0.66,
2.5,Celcius,molar,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",InChI=1S/C3H6O/c1-3(2)4/h1-2H3,"InChI=1S/CH4O/c1-2/h2H,1H3",,0.22,0.08,0.7,
2.5,Celcius,molar,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",InChI=1S/C3H6O/c1-3(2)4/h1-2H3,"InChI=1S/CH4O/c1-2/h2H,1H3",,0.23,0.07,0.7,
-15.8,Celcius,molar,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",InChI=1S/C3H6O/c1-3(2)4/h1-2H3,"InChI=1S/CH4O/c1-2/h2H,1H3",,0.235,0.611,0.154,
-12.8,Celcius,molar,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",InChI=1S/C3H6O/c1-3(2)4/h1-2H3,"InChI=1S/CH4O/c1-2/h2H,1H3",,0.26,0.44,0.3,
-10.5,Celcius,molar,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",InChI=1S/C3H6O/c1-3(2)4/h1-2H3,"InChI=1S/CH4O/c1-2/h2H,1H3",,0.3,0.3,0.4,
2.5,Celcius,molar,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",InChI=1S/C3H6O/c1-3(2)4/h1-2H3,"InChI=1S/CH4O/c1-2/h2H,1H3",,0.34,0.06,0.6,
-9.7,Celcius,molar,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",InChI=1S/C3H6O/c1-3(2)4/h1-2H3,"InChI=1S/CH4O/c1-2/h2H,1H3",,0.37,0.26,0.37,
-4.0,Celcius,molar,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",InChI=1S/C3H6O/c1-3(2)4/h1-2H3,"InChI=1S/CH4O/c1-2/h2H,1H3",,0.38,0.12,0.5,
-16.0,Celcius,molar,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",InChI=1S/C3H6O/c1-3(2)4/h1-2H3,"InChI=1S/CH4O/c1-2/h2H,1H3",,0.428,0.463,0.109,
-12.7,Celcius,molar,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",InChI=1S/C3H6O/c1-3(2)4/h1-2H3,"InChI=1S/CH4O/c1-2/h2H,1H3",,0.436,0.348,0.216,
-4.0,Celcius,molar,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",InChI=1S/C3H6O/c1-3(2)4/h1-2H3,"InChI=1S/CH4O/c1-2/h2H,1H3",,0.459,0.114,0.427,
-15.1,Celcius,molar,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",InChI=1S/C3H6O/c1-3(2)4/h1-2H3,"InChI=1S/CH4O/c1-2/h2H,1H3",,0.47,0.43,0.1,
-10.0,Celcius,molar,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",InChI=1S/C3H6O/c1-3(2)4/h1-2H3,"InChI=1S/CH4O/c1-2/h2H,1H3",,0.48,0.22,0.3,
-3.5,Celcius,molar,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",InChI=1S/C3H6O/c1-3(2)4/h1-2H3,"InChI=1S/CH4O/c1-2/h2H,1H3",,0.49,0.11,0.4,
-9.2,Celcius,molar,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",InChI=1S/C3H6O/c1-3(2)4/h1-2H3,"InChI=1S/CH4O/c1-2/h2H,1H3",,0.5,0.2,0.3,
-10.1,Celcius,molar,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",InChI=1S/C3H6O/c1-3(2)4/h1-2H3,"InChI=1S/CH4O/c1-2/h2H,1H3",,0.5,0.22,0.28,
